iter	RMSE
0	15.2281673
1	14.85563385
2	14.47120633
3	14.14958259
4	13.82553692
5	13.49102441
6	13.21216529
7	12.9190921
8	12.63479012
9	12.34003712
10	12.07726684
11	11.80167294
12	11.53688913
13	11.274028
14	11.02030741
15	10.77758372
16	10.55124552
17	10.3282779
18	10.14188647
19	9.943885453
20	9.747147646
21	9.570579959
22	9.413779394
23	9.24035237
24	9.071837393
25	8.911206751
26	8.762707202
27	8.636346783
28	8.493811785
29	8.371982913
30	8.245182929
31	8.117451493
32	8.000116036
33	7.884384473
34	7.779396022
35	7.682078276
36	7.586963402
37	7.492710077
38	7.391152015
39	7.299674927
40	7.222764304
41	7.151037448
42	7.074137139
43	7.00660645
44	6.943204775
45	6.880905105
46	6.825079413
47	6.759288248
48	6.691368013
49	6.628741519
50	6.577776371
51	6.52497205
52	6.476850526
53	6.432091047
54	6.380762127
55	6.336049824
56	6.297185911
57	6.259596659
58	6.216835265
59	6.175323467
60	6.133842975
61	6.089210484
62	6.054861997
63	6.027925156
64	5.991511662
65	5.959837963
66	5.934280951
67	5.90074087
68	5.870462958
69	5.845021191
70	5.815173175
71	5.79071869
72	5.768166
73	5.746373664
74	5.724627409
75	5.699428707
76	5.676354967
77	5.651033994
78	5.63095163
79	5.609977516
80	5.593766549
81	5.570057232
82	5.549191412
83	5.53101391
84	5.518695941
85	5.49983104
86	5.485981693
87	5.467793352
88	5.453361327
89	5.435092888
90	5.418095008
91	5.407272938
92	5.393819813
93	5.38231011
94	5.372538584
95	5.356942134
96	5.344396922
97	5.333073075
98	5.323636976
99	5.311480914
100	5.304071687
101	5.296549786
102	5.287539427
103	5.272312356
104	5.264211264
105	5.254785315
106	5.244436938
107	5.233624186
108	5.224598875
109	5.213698437
110	5.205479963
111	5.195670531
112	5.189930492
113	5.185194681
114	5.177270443
115	5.172287028
116	5.165613416
117	5.158725148
118	5.146047282
119	5.139662261
120	5.135331073
121	5.128760831
122	5.120901492
123	5.109698422
124	5.101379375
125	5.094513916
126	5.088566669
127	5.085211596
128	5.075101294
129	5.065711747
130	5.059237332
131	5.05387068
132	5.047706516
133	5.04065096
134	5.035901425
135	5.029508266
136	5.024110539
137	5.019409335
138	5.011149301
139	5.006492903
140	5.006010256
141	4.996500955
142	4.990736048
143	4.987451088
144	4.978053597
145	4.972666527
146	4.966341216
147	4.961818113
148	4.956850831
149	4.948504888
150	4.942219255
151	4.935624698
152	4.933194066
153	4.930367682
154	4.926731005
155	4.921096589
156	4.913480204
157	4.906813176
158	4.90409027
159	4.899925972
160	4.894897863
161	4.888361905
162	4.883861405
163	4.878639798
164	4.878247488
165	4.874371622
166	4.869751505
167	4.86424238
168	4.860328707
169	4.856988397
170	4.853314547
171	4.845466818
172	4.842682566
173	4.842219979
174	4.837059776
175	4.834694041
176	4.831192743
177	4.8262731
178	4.823065923
179	4.818485872
180	4.814685203
181	4.809098868
182	4.801602961
183	4.795779234
184	4.793906883
185	4.789823746
186	4.786180569
187	4.782791485
188	4.779414347
189	4.774779634
190	4.770552271
191	4.767596447
192	4.766497052
193	4.761445602
194	4.757463135
195	4.752182199
196	4.74759298
197	4.744065846
198	4.741920785
199	4.738082023
200	4.735532658
201	4.731702145
202	4.726165863
203	4.720549221
204	4.714080185
205	4.709603427
206	4.70655463
207	4.701540044
208	4.699495378
209	4.697471518
210	4.692626651
211	4.689011291
212	4.686315333
213	4.683232342
214	4.680974137
215	4.678233791
216	4.674524911
217	4.671407233
218	4.664847077
219	4.656249492
220	4.653044874
221	4.649230755
222	4.646101846
223	4.641392894
224	4.63738857
225	4.635284988
226	4.633188292
227	4.629844241
228	4.626810674
229	4.624149921
230	4.620706443
